======================================================================
  REGISTRO DE REQUESTS - NinoEdu API
  Data/hora : 22/08/2026, 14:54:08
  Formato   : Rodada | Execucao | Itens retornados
Rodada 015 | Execucao 2 | Itens: [GA, A, TA, DA]
Rodada 015 | Execucao 3 | Itens: [JA, RA, QUA, XA]
Rodada 016 | Execucao 1 | Itens: [XA, FA, PA, TA]
Rodada 016 | Execucao 2 | Itens: [FA, DA, LA, RA]
Rodada 016 | Execucao 3 | Itens: [ZA, GA, A, RA]
Rodada 017 | Execucao 1 | Itens: [BA, CA, A, VA]
Rodada 017 | Execucao 2 | Itens: [VA, NA, PA, CA]
Rodada 017 | Execucao 3 | Itens: [DA, QUA, A, GA]
Rodada 018 | Execucao 1 | Itens: [JA, VA, QUA, LA]
Rodada 018 | Execucao 2 | Itens: [LA, JA, VA, QUA]
Rodada 018 | Execucao 3 | Itens: [FA, PA, MA, DA]
Rodada 019 | Execucao 1 | Itens: [LA, TA, RA, JA]
Rodada 019 | Execucao 2 | Itens: [GA, XA, MA, BA]
Rodada 019 | Execucao 3 | Itens: [CA, BA, JA, XA]
Rodada 020 | Execucao 1 | Itens: [ZA, VA, JA, BA]
Rodada 020 | Execucao 2 | Itens: [XA, GA, ZA, FA]
Rodada 020 | Execucao 3 | Itens: [CA, SA, FA, QUA]
Rodada 021 | Execucao 1 | Itens: [CA, TA, LA, BA]
Rodada 021 | Execucao 2 | Itens: [XA, A, CA, LA]
Rodada 021 | Execucao 3 | Itens: [XA, ZA, NA, BA]
Rodada 022 | Execucao 1 | Itens: [BA, FA, LA, VA]
Rodada 022 | Execucao 2 | Itens: [ZA, QUA, XA, SA]
Rodada 022 | Execucao 3 | Itens: [MA, RA, GA, PA]
Rodada 023 | Execucao 1 | Itens: [ZA, GA, PA, A]
Rodada 023 | Execucao 2 | Itens: [RA, VA, SA, XA]
Rodada 023 | Execucao 3 | Itens: [LA, ZA, MA, A]
Rodada 024 | Execucao 1 | Itens: [MA, BA, TA, DA]
Rodada 024 | Execucao 2 | Itens: [VA, DA, PA, A]
Rodada 024 | Execucao 3 | Itens: [PA, MA, QUA, CA]
Rodada 025 | Execucao 1 | Itens: [QUA, A, MA, PA]
Rodada 025 | Execucao 2 | Itens: [DA, FA, ZA, SA]
Rodada 025 | Execucao 3 | Itens: [VA, JA, TA, MA]
Rodada 026 | Execucao 1 | Itens: [QUA, ZA, RA, XA]
Rodada 026 | Execucao 2 | Itens: [SA, NA, GA, CA]
Rodada 026 | Execucao 3 | Itens: [QUA, MA, FA, A]
Rodada 027 | Execucao 1 | Itens: [SA, FA, NA, MA]
Rodada 027 | Execucao 2 | Itens: [A, CA, NA, TA]
Rodada 027 | Execucao 3 | Itens: [RA, QUA, A, NA]
Rodada 028 | Execucao 1 | Itens: [SA, JA, GA, QUA]
Rodada 028 | Execucao 2 | Itens: [VA, TA, A, JA]
Rodada 028 | Execucao 3 | Itens: [RA, MA, PA, FA]
Rodada 029 | Execucao 1 | Itens: [VA, PA, XA, CA]
Rodada 029 | Execucao 2 | Itens: [SA, RA, CA, PA]
Rodada 029 | Execucao 3 | Itens: [JA, LA, VA, QUA]
Rodada 030 | Execucao 1 | Itens: [RA, VA, BA, FA]
Rodada 030 | Execucao 2 | Itens: [GA, ZA, NA, SA]
Rodada 030 | Execucao 3 | Itens: [ZA, PA, RA, DA]
Rodada 031 | Execucao 1 | Itens: [DA, PA, SA, A]
Rodada 031 | Execucao 2 | Itens: [QUA, ZA, MA, LA]
Rodada 031 | Execucao 3 | Itens: [PA, JA, BA, LA]
Rodada 032 | Execucao 1 | Itens: [LA, XA, VA, DA]
Rodada 032 | Execucao 2 | Itens: [NA, ZA, A, MA]
Rodada 032 | Execucao 3 | Itens: [A, DA, SA, CA]
Rodada 033 | Execucao 1 | Itens: [XA, JA, PA, QUA]
Rodada 033 | Execucao 2 | Itens: [RA, FA, DA, SA]
Rodada 033 | Execucao 3 | Itens: [LA, A, SA, DA]
Rodada 034 | Execucao 1 | Itens: [ZA, MA, CA, LA]
Rodada 034 | Execucao 2 | Itens: [ZA, BA, PA, QUA]
Rodada 034 | Execucao 3 | Itens: [MA, NA, CA, XA]
Rodada 035 | Execucao 1 | Itens: [DA, A, LA, NA]
Rodada 035 | Execucao 2 | Itens: [DA, MA, QUA, PA]
Rodada 035 | Execucao 3 | Itens: [ZA, MA, LA, GA]
Rodada 036 | Execucao 1 | Itens: [QUA, ZA, DA, CA]
Rodada 036 | Execucao 2 | Itens: [QUA, BA, GA, ZA]
Rodada 036 | Execucao 3 | Itens: [JA, GA, NA, SA]
Rodada 037 | Execucao 1 | Itens: [RA, MA, DA, SA]
Rodada 037 | Execucao 2 | Itens: [RA, VA, DA, JA]
Rodada 037 | Execucao 3 | Itens: [SA, MA, GA, LA]
Rodada 038 | Execucao 1 | Itens: [PA, MA, GA, VA]
Rodada 038 | Execucao 2 | Itens: [XA, QUA, SA, RA]
Rodada 038 | Execucao 3 | Itens: [RA, QUA, CA, TA]
Rodada 039 | Execucao 1 | Itens: [QUA, NA, ZA, RA]
Rodada 039 | Execucao 2 | Itens: [A, PA, BA, XA]
Rodada 039 | Execucao 3 | Itens: [QUA, RA, PA, BA]
Rodada 040 | Execucao 1 | Itens: [FA, A, DA, XA]
Rodada 040 | Execucao 2 | Itens: [DA, LA, NA, SA]
Rodada 040 | Execucao 3 | Itens: [A, PA, QUA, XA]
Rodada 041 | Execucao 1 | Itens: [SA, MA, A, FA]
Rodada 041 | Execucao 2 | Itens: [BA, LA, NA, QUA]
Rodada 041 | Execucao 3 | Itens: [XA, A, TA, RA]
Rodada 042 | Execucao 1 | Itens: [NA, JA, RA, FA]
Rodada 042 | Execucao 2 | Itens: [NA, QUA, CA, BA]
Rodada 042 | Execucao 3 | Itens: [A, XA, ZA, NA]
Rodada 043 | Execucao 1 | Itens: [GA, TA, RA, QUA]
Rodada 043 | Execucao 2 | Itens: [NA, PA, BA, JA]
Rodada 043 | Execucao 3 | Itens: [MA, XA, TA, ZA]
Rodada 044 | Execucao 1 | Itens: [CA, A, TA, JA]
Rodada 044 | Execucao 2 | Itens: [ZA, RA, CA, JA]
Rodada 044 | Execucao 3 | Itens: [ZA, VA, DA, QUA]
Rodada 045 | Execucao 1 | Itens: [SA, TA, JA, ZA]
Rodada 045 | Execucao 2 | Itens: [FA, MA, GA, JA]
Rodada 045 | Execucao 3 | Itens: [FA, BA, DA, QUA]
Rodada 046 | Execucao 1 | Itens: [ZA, GA, SA, LA]
Rodada 046 | Execucao 2 | Itens: [VA, XA, NA, PA]
Rodada 046 | Execucao 3 | Itens: [ZA, QUA, PA, VA]
Rodada 047 | Execucao 1 | Itens: [A, BA, GA, TA]
Rodada 047 | Execucao 2 | Itens: [JA, ZA, FA, LA]
Rodada 047 | Execucao 3 | Itens: [VA, XA, BA, MA]
Rodada 048 | Execucao 1 | Itens: [TA, LA, NA, VA]
Rodada 048 | Execucao 2 | Itens: [ZA, A, FA, XA]
Rodada 048 | Execucao 3 | Itens: [NA, ZA, DA, GA]
Rodada 049 | Execucao 1 | Itens: [RA, GA, ZA, VA]
Rodada 049 | Execucao 2 | Itens: [SA, DA, PA, CA]
Rodada 049 | Execucao 3 | Itens: [GA, A, CA, ZA]
Rodada 050 | Execucao 1 | Itens: [XA, CA, LA, JA]
Rodada 050 | Execucao 2 | Itens: [RA, TA, NA, GA]
Rodada 050 | Execucao 3 | Itens: [CA, LA, NA, DA]
Rodada 051 | Execucao 1 | Itens: [JA, PA, XA, BA]
Rodada 051 | Execucao 2 | Itens: [GA, MA, A, DA]
Rodada 051 | Execucao 3 | Itens: [PA, FA, VA, NA]
Rodada 052 | Execucao 1 | Itens: [SA, NA, JA, GA]
Rodada 052 | Execucao 2 | Itens: [DA, RA, BA, NA]
Rodada 052 | Execucao 3 | Itens: [ZA, CA, VA, LA]
Rodada 053 | Execucao 1 | Itens: [A, SA, LA, GA]
Rodada 053 | Execucao 2 | Itens: [NA, XA, QUA, LA]
Rodada 053 | Execucao 3 | Itens: [JA, A, VA, MA]
Rodada 054 | Execucao 1 | Itens: [CA, NA, TA, QUA]
Rodada 054 | Execucao 2 | Itens: [CA, XA, TA, FA]
Rodada 054 | Execucao 3 | Itens: [DA, CA, A, QUA]
Rodada 055 | Execucao 1 | Itens: [ZA, FA, RA, LA]
Rodada 055 | Execucao 2 | Itens: [SA, LA, MA, ZA]
Rodada 055 | Execucao 3 | Itens: [NA, SA, CA, JA]
Rodada 056 | Execucao 1 | Itens: [JA, DA, A, TA]
Rodada 056 | Execucao 2 | Itens: [PA, XA, LA, BA]
Rodada 056 | Execucao 3 | Itens: [A, SA, XA, LA]
Rodada 057 | Execucao 1 | Itens: [VA, XA, ZA, BA]
Rodada 057 | Execucao 2 | Itens: [MA, ZA, XA, RA]
Rodada 057 | Execucao 3 | Itens: [MA, RA, ZA, BA]
Rodada 058 | Execucao 1 | Itens: [RA, CA, BA, DA]
Rodada 058 | Execucao 2 | Itens: [FA, TA, LA, PA]
Rodada 058 | Execucao 3 | Itens: [GA, SA, JA, DA]
Rodada 059 | Execucao 1 | Itens: [RA, CA, DA, MA]
Rodada 059 | Execucao 2 | Itens: [SA, DA, NA, RA]
Rodada 059 | Execucao 3 | Itens: [DA, ZA, MA, CA]
Rodada 060 | Execucao 1 | Itens: [NA, VA, BA, JA]
Rodada 060 | Execucao 2 | Itens: [CA, FA, RA, TA]
Rodada 060 | Execucao 3 | Itens: [QUA, ZA, A, JA]
Rodada 061 | Execucao 1 | Itens: [LA, ZA, PA, VA]
Rodada 061 | Execucao 2 | Itens: [JA, A, CA, TA]
Rodada 061 | Execucao 3 | Itens: [XA, GA, ZA, JA]
Rodada 062 | Execucao 1 | Itens: [SA, NA, TA, GA]
Rodada 062 | Execucao 2 | Itens: [FA, TA, MA, XA]
Rodada 062 | Execucao 3 | Itens: [LA, MA, BA, TA]
Rodada 063 | Execucao 1 | Itens: [NA, XA, CA, SA]
Rodada 063 | Execucao 2 | Itens: [NA, LA, VA, TA]
Rodada 063 | Execucao 3 | Itens: [PA, LA, NA, A]
Rodada 064 | Execucao 1 | Itens: [FA, XA, QUA, RA]
Rodada 064 | Execucao 2 | Itens: [NA, A, ZA, MA]
Rodada 064 | Execucao 3 | Itens: [FA, DA, JA, A]
Rodada 065 | Execucao 1 | Itens: [XA, NA, BA, PA]
Rodada 065 | Execucao 2 | Itens: [A, XA, RA, GA]
Rodada 065 | Execucao 3 | Itens: [ZA, LA, VA, JA]
Rodada 066 | Execucao 1 | Itens: [NA, VA, XA, LA]
Rodada 066 | Execucao 2 | Itens: [BA, XA, PA, FA]
Rodada 066 | Execucao 3 | Itens: [GA, SA, BA, ZA]
Rodada 067 | Execucao 1 | Itens: [A, TA, VA, LA]
Rodada 067 | Execucao 2 | Itens: [FA, QUA, BA, A]
Rodada 067 | Execucao 3 | Itens: [SA, TA, BA, A]
Rodada 068 | Execucao 1 | Itens: [JA, GA, MA, CA]
Rodada 068 | Execucao 2 | Itens: [MA, RA, LA, FA]
Rodada 068 | Execucao 3 | Itens: [RA, NA, MA, DA]
Rodada 069 | Execucao 1 | Itens: [FA, NA, XA, SA]
Rodada 069 | Execucao 2 | Itens: [QUA, BA, RA, GA]
Rodada 069 | Execucao 3 | Itens: [A, QUA, BA, LA]
Rodada 070 | Execucao 1 | Itens: [VA, FA, NA, LA]
Rodada 070 | Execucao 2 | Itens: [JA, TA, DA, ZA]
Rodada 070 | Execucao 3 | Itens: [TA, JA, MA, PA]
Rodada 071 | Execucao 1 | Itens: [DA, GA, PA, SA]
Rodada 071 | Execucao 2 | Itens: [ZA, RA, VA, BA]
Rodada 071 | Execucao 3 | Itens: [MA, ZA, QUA, NA]
Rodada 072 | Execucao 1 | Itens: [RA, MA, BA, CA]
Rodada 072 | Execucao 2 | Itens: [RA, JA, CA, GA]
Rodada 072 | Execucao 3 | Itens: [NA, MA, PA, QUA]
Rodada 073 | Execucao 1 | Itens: [TA, RA, LA, ZA]
Rodada 073 | Execucao 2 | Itens: [DA, VA, SA, TA]
Rodada 073 | Execucao 3 | Itens: [SA, FA, A, PA]
Rodada 074 | Execucao 1 | Itens: [BA, VA, XA, NA]
Rodada 074 | Execucao 2 | Itens: [SA, DA, FA, ZA]
Rodada 074 | Execucao 3 | Itens: [MA, GA, FA, XA]
Rodada 075 | Execucao 1 | Itens: [A, BA, NA, RA]
Rodada 075 | Execucao 2 | Itens: [CA, GA, TA, A]
Rodada 075 | Execucao 3 | Itens: [GA, CA, VA, SA]
Rodada 076 | Execucao 1 | Itens: [TA, JA, RA, A]
Rodada 076 | Execucao 2 | Itens: [VA, XA, BA, DA]
Rodada 076 | Execucao 3 | Itens: [RA, CA, ZA, GA]
Rodada 077 | Execucao 1 | Itens: [QUA, A, XA, GA]
Rodada 077 | Execucao 2 | Itens: [ZA, FA, VA, QUA]
Rodada 077 | Execucao 3 | Itens: [RA, CA, FA, LA]
Rodada 078 | Execucao 1 | Itens: [FA, LA, XA, RA]
Rodada 078 | Execucao 2 | Itens: [SA, QUA, CA, JA]
Rodada 078 | Execucao 3 | Itens: [BA, A, QUA, TA]
Rodada 079 | Execucao 1 | Itens: [CA, MA, BA, TA]
Rodada 079 | Execucao 2 | Itens: [DA, LA, GA, JA]
Rodada 079 | Execucao 3 | Itens: [MA, RA, PA, LA]
Rodada 080 | Execucao 1 | Itens: [XA, DA, FA, MA]
Rodada 080 | Execucao 2 | Itens: [NA, TA, DA, BA]
Rodada 080 | Execucao 3 | Itens: [A, VA, JA, SA]
Rodada 081 | Execucao 1 | Itens: [PA, RA, BA, NA]
Rodada 081 | Execucao 2 | Itens: [DA, FA, PA, LA]
Rodada 081 | Execucao 3 | Itens: [LA, TA, ZA, RA]
Rodada 082 | Execucao 1 | Itens: [BA, JA, A, SA]
Rodada 082 | Execucao 2 | Itens: [TA, CA, RA, XA]
Rodada 082 | Execucao 3 | Itens: [PA, MA, SA, TA]
Rodada 083 | Execucao 1 | Itens: [DA, QUA, NA, XA]
Rodada 083 | Execucao 2 | Itens: [NA, SA, FA, TA]
Rodada 083 | Execucao 3 | Itens: [LA, CA, VA, SA]
Rodada 084 | Execucao 1 | Itens: [A, QUA, MA, VA]
Rodada 084 | Execucao 2 | Itens: [ZA, NA, GA, MA]
Rodada 084 | Execucao 3 | Itens: [ZA, XA, NA, LA]
Rodada 085 | Execucao 1 | Itens: [XA, NA, JA, ZA]
Rodada 085 | Execucao 2 | Itens: [JA, FA, ZA, XA]
Rodada 085 | Execucao 3 | Itens: [TA, ZA, LA, SA]
Rodada 086 | Execucao 1 | Itens: [CA, JA, RA, GA]
Rodada 086 | Execucao 2 | Itens: [JA, NA, GA, RA]
Rodada 086 | Execucao 3 | Itens: [NA, DA, XA, GA]
Rodada 087 | Execucao 1 | Itens: [FA, XA, GA, LA]
Rodada 087 | Execucao 2 | Itens: [TA, SA, CA, QUA]
Rodada 087 | Execucao 3 | Itens: [BA, SA, FA, ZA]
Rodada 088 | Execucao 1 | Itens: [RA, NA, BA, ZA]
Rodada 088 | Execucao 2 | Itens: [FA, ZA, MA, PA]
Rodada 088 | Execucao 3 | Itens: [CA, FA, BA, LA]
Rodada 089 | Execucao 1 | Itens: [RA, JA, GA, DA]
Rodada 089 | Execucao 2 | Itens: [VA, RA, PA, LA]
Rodada 089 | Execucao 3 | Itens: [LA, CA, FA, JA]
Rodada 090 | Execucao 1 | Itens: [FA, RA, NA, VA]
Rodada 090 | Execucao 2 | Itens: [JA, VA, RA, FA]
Rodada 090 | Execucao 3 | Itens: [LA, JA, GA, QUA]
Rodada 091 | Execucao 1 | Itens: [QUA, A, CA, XA]
Rodada 091 | Execucao 2 | Itens: [DA, NA, CA, ZA]
Rodada 091 | Execucao 3 | Itens: [QUA, XA, BA, MA]
Rodada 092 | Execucao 1 | Itens: [MA, SA, PA, VA]
Rodada 092 | Execucao 2 | Itens: [SA, VA, LA, RA]
Rodada 092 | Execucao 3 | Itens: [A, LA, ZA, PA]
Rodada 093 | Execucao 1 | Itens: [VA, PA, RA, CA]
Rodada 093 | Execucao 2 | Itens: [DA, PA, ZA, JA]
Rodada 093 | Execucao 3 | Itens: [PA, FA, QUA, ZA]
Rodada 094 | Execucao 1 | Itens: [JA, RA, TA, XA]
Rodada 094 | Execucao 2 | Itens: [A, DA, QUA, ZA]
Rodada 094 | Execucao 3 | Itens: [FA, VA, ZA, JA]
Rodada 095 | Execucao 1 | Itens: [JA, LA, DA, MA]
Rodada 095 | Execucao 2 | Itens: [JA, TA, GA, NA]
Rodada 095 | Execucao 3 | Itens: [JA, QUA, MA, PA]
Rodada 096 | Execucao 1 | Itens: [NA, RA, BA, DA]
Rodada 096 | Execucao 2 | Itens: [MA, CA, JA, PA]
Rodada 096 | Execucao 3 | Itens: [RA, MA, LA, CA]
Rodada 097 | Execucao 1 | Itens: [TA, ZA, CA, XA]
Rodada 097 | Execucao 2 | Itens: [FA, VA, GA, CA]
Rodada 097 | Execucao 3 | Itens: [FA, PA, GA, VA]
Rodada 098 | Execucao 1 | Itens: [RA, XA, MA, QUA]
Rodada 098 | Execucao 2 | Itens: [FA, LA, XA, GA]
Rodada 098 | Execucao 3 | Itens: [LA, CA, XA, RA]
Rodada 099 | Execucao 1 | Itens: [ZA, QUA, BA, DA]
Rodada 099 | Execucao 2 | Itens: [NA, FA, ZA, GA]
Rodada 099 | Execucao 3 | Itens: [BA, ZA, GA, QUA]
Rodada 100 | Execucao 1 | Itens: [XA, CA, QUA, RA]
Rodada 100 | Execucao 2 | Itens: [VA, XA, CA, RA]
Rodada 100 | Execucao 3 | Itens: [MA, QUA, PA, XA]
Rodada 101 | Execucao 1 | Itens: [ZA, TA, CA, QUA]
Rodada 101 | Execucao 2 | Itens: [SA, FA, GA, VA]
Rodada 101 | Execucao 3 | Itens: [DA, A, VA, TA]
Rodada 102 | Execucao 1 | Itens: [VA, ZA, A, BA]
Rodada 102 | Execucao 2 | Itens: [XA, LA, SA, MA]
Rodada 102 | Execucao 3 | Itens: [NA, ZA, TA, BA]
Rodada 103 | Execucao 1 | Itens: [PA, RA, XA, ZA]
Rodada 103 | Execucao 2 | Itens: [TA, VA, MA, DA]
Rodada 103 | Execucao 3 | Itens: [PA, RA, NA, VA]
Rodada 104 | Execucao 1 | Itens: [QUA, VA, DA, TA]
Rodada 104 | Execucao 2 | Itens: [ZA, RA, FA, CA]
Rodada 104 | Execucao 3 | Itens: [NA, TA, JA, BA]
Rodada 105 | Execucao 1 | Itens: [MA, ZA, XA, QUA]
Rodada 105 | Execucao 2 | Itens: [XA, DA, LA, A]
Rodada 105 | Execucao 3 | Itens: [DA, A, LA, GA]
Rodada 106 | Execucao 1 | Itens: [XA, GA, JA, DA]
Rodada 106 | Execucao 2 | Itens: [ZA, TA, FA, XA]
Rodada 106 | Execucao 3 | Itens: [LA, VA, MA, FA]
Rodada 107 | Execucao 1 | Itens: [RA, JA, SA, FA]
Rodada 107 | Execucao 2 | Itens: [BA, CA, ZA, PA]
Rodada 107 | Execucao 3 | Itens: [A, TA, XA, BA]
Rodada 108 | Execucao 1 | Itens: [TA, A, RA, NA]
Rodada 108 | Execucao 2 | Itens: [DA, SA, NA, FA]
Rodada 108 | Execucao 3 | Itens: [XA, TA, PA, SA]
Rodada 109 | Execucao 1 | Itens: [BA, PA, RA, NA]
Rodada 109 | Execucao 2 | Itens: [A, LA, BA, SA]
Rodada 109 | Execucao 3 | Itens: [MA, JA, GA, VA]
Rodada 110 | Execucao 1 | Itens: [RA, SA, TA, JA]
Rodada 110 | Execucao 2 | Itens: [TA, SA, FA, DA]
Rodada 110 | Execucao 3 | Itens: [SA, LA, CA, NA]
Rodada 111 | Execucao 1 | Itens: [A, FA, GA, CA]
Rodada 111 | Execucao 2 | Itens: [DA, PA, XA, A]
Rodada 111 | Execucao 3 | Itens: [RA, CA, GA, JA]
Rodada 112 | Execucao 1 | Itens: [ZA, PA, SA, FA]
Rodada 112 | Execucao 2 | Itens: [ZA, GA, TA, BA]
Rodada 112 | Execucao 3 | Itens: [MA, QUA, BA, CA]
Rodada 113 | Execucao 1 | Itens: [LA, MA, NA, SA]
Rodada 113 | Execucao 2 | Itens: [CA, MA, XA, JA]
Rodada 113 | Execucao 3 | Itens: [DA, JA, MA, VA]
Rodada 114 | Execucao 1 | Itens: [GA, ZA, RA, JA]
Rodada 114 | Execucao 2 | Itens: [A, FA, RA, QUA]
Rodada 114 | Execucao 3 | Itens: [VA, PA, NA, MA]
Rodada 115 | Execucao 1 | Itens: [CA, QUA, SA, RA]
Rodada 115 | Execucao 2 | Itens: [DA, FA, RA, A]
Rodada 115 | Execucao 3 | Itens: [LA, SA, NA, FA]
Rodada 116 | Execucao 1 | Itens: [DA, BA, ZA, TA]
Rodada 116 | Execucao 2 | Itens: [TA, NA, SA, RA]
Rodada 116 | Execucao 3 | Itens: [QUA, JA, LA, VA]
Rodada 117 | Execucao 1 | Itens: [XA, LA, VA, SA]
Rodada 117 | Execucao 2 | Itens: [GA, VA, CA, QUA]
Rodada 117 | Execucao 3 | Itens: [FA, CA, VA, GA]
Rodada 118 | Execucao 1 | Itens: [ZA, LA, MA, NA]
Rodada 118 | Execucao 2 | Itens: [TA, LA, XA, BA]
Rodada 118 | Execucao 3 | Itens: [FA, RA, NA, XA]
Rodada 119 | Execucao 1 | Itens: [BA, QUA, LA, MA]
Rodada 119 | Execucao 2 | Itens: [VA, LA, CA, TA]
Rodada 119 | Execucao 3 | Itens: [CA, JA, DA, RA]
Rodada 120 | Execucao 1 | Itens: [VA, FA, GA, NA]
Rodada 120 | Execucao 2 | Itens: [SA, CA, PA, QUA]
Rodada 120 | Execucao 3 | Itens: [XA, JA, CA, NA]
Rodada 121 | Execucao 1 | Itens: [BA, JA, PA, GA]
Rodada 121 | Execucao 2 | Itens: [DA, PA, FA, XA]
Rodada 121 | Execucao 3 | Itens: [DA, A, QUA, BA]
Rodada 122 | Execucao 1 | Itens: [FA, DA, RA, TA]
Rodada 122 | Execucao 2 | Itens: [QUA, MA, FA, XA]
Rodada 122 | Execucao 3 | Itens: [VA, PA, FA, SA]
Rodada 123 | Execucao 1 | Itens: [ZA, NA, VA, XA]
Rodada 123 | Execucao 2 | Itens: [PA, SA, MA, GA]
Rodada 123 | Execucao 3 | Itens: [MA, TA, DA, SA]
Rodada 124 | Execucao 1 | Itens: [MA, JA, QUA, CA]
Rodada 124 | Execucao 2 | Itens: [FA, DA, RA, VA]
Rodada 124 | Execucao 3 | Itens: [PA, GA, QUA, TA]
Rodada 125 | Execucao 1 | Itens: [NA, FA, BA, GA]
Rodada 125 | Execucao 2 | Itens: [NA, CA, MA, TA]
Rodada 125 | Execucao 3 | Itens: [MA, GA, FA, VA]
Rodada 126 | Execucao 1 | Itens: [GA, MA, QUA, RA]
Rodada 126 | Execucao 2 | Itens: [VA, RA, NA, PA]
Rodada 126 | Execucao 3 | Itens: [JA, CA, PA, RA]
Rodada 127 | Execucao 1 | Itens: [GA, ZA, XA, FA]
Rodada 127 | Execucao 2 | Itens: [JA, PA, SA, GA]
Rodada 127 | Execucao 3 | Itens: [PA, NA, LA, QUA]
Rodada 128 | Execucao 1 | Itens: [GA, BA, CA, VA]
Rodada 128 | Execucao 2 | Itens: [CA, A, QUA, GA]
Rodada 128 | Execucao 3 | Itens: [VA, PA, MA, A]
Rodada 129 | Execucao 1 | Itens: [DA, TA, CA, A]
Rodada 129 | Execucao 2 | Itens: [ZA, DA, VA, JA]
Rodada 129 | Execucao 3 | Itens: [SA, FA, BA, CA]
Rodada 130 | Execucao 1 | Itens: [JA, MA, GA, PA]
Rodada 130 | Execucao 2 | Itens: [JA, VA, CA, DA]
Rodada 130 | Execucao 3 | Itens: [CA, XA, NA, FA]
Rodada 131 | Execucao 1 | Itens: [LA, CA, BA, TA]
Rodada 131 | Execucao 2 | Itens: [TA, BA, JA, NA]
Rodada 131 | Execucao 3 | Itens: [MA, QUA, JA, LA]
Rodada 132 | Execucao 1 | Itens: [DA, XA, CA, FA]
Rodada 132 | Execucao 2 | Itens: [JA, TA, ZA, XA]
Rodada 132 | Execucao 3 | Itens: [VA, JA, PA, ZA]
Rodada 133 | Execucao 1 | Itens: [MA, PA, RA, TA]
Rodada 133 | Execucao 2 | Itens: [PA, XA, DA, ZA]
Rodada 133 | Execucao 3 | Itens: [BA, SA, RA, LA]
Rodada 134 | Execucao 1 | Itens: [GA, LA, TA, A]
Rodada 134 | Execucao 2 | Itens: [MA, ZA, NA, SA]
Rodada 134 | Execucao 3 | Itens: [FA, ZA, PA, QUA]
